dateTime,Extinction-880nm,Extinction-405nm,BC,PM,temperature,pressure,humidity,flow-temperature,voltage-880nm,voltage-405nm,current-405nm,status,sensorTime
2020-12-04 00:00:08.701157,-8.6,5.9,-1.10,0.95,23.4,970.3,1594,20.1,22.4,0.598706,95.1,96.4,"0.062718,28/10/00"
2020-12-04 00:00:18.802865,-8.8,8.4,-1.13,1.36,23.5,970.1,1228,20.1,22.4,0.598844,95.1,96.4,"0.062727,28/10/00"
2020-12-04 00:00:28.698247,-8.5,16.8,-1.10,2.70,23.4,970.2,1595,20.1,22.4,0.598721,95.1,96.4,"0.062716,28/10/00"
2020-12-04 00:00:38.808723,-8.2,10.3,-1.05,1.67,23.5,970.2,1229,20.1,22.4,0.598846,95.1,96.4,"0.062726,28/10/00"
2020-12-04 00:00:48.708439,-7.8,13.0,-1.01,2.10,23.4,970.2,1594,20.1,22.3,0.598724,95.1,96.4,"0.062719,28/10/00"
2020-12-04 00:00:58.801936,-7.8,25.6,-1.01,4.12,23.5,970.2,1227,20.0,22.3,0.598870,95.1,96.4,"0.062730,28/10/00"
2020-12-04 00:01:08.697036,-8.7,14.9,-1.12,2.40,23.4,970.2,1596,20.1,22.3,0.598731,95.1,96.4,"0.062718,28/10/00"
2020-12-04 00:01:18.808379,-9.9,13.8,-1.27,2.23,23.4,970.3,1221,20.0,22.3,0.598881,95.1,96.4,"0.062731,28/10/00"
2020-12-04 00:01:28.699825,-10.6,14.2,-1.36,2.29,23.4,970.2,1594,20.0,22.3,0.598746,95.1,96.4,"0.062722,28/10/00"
2020-12-04 00:01:38.808541,-11.2,14.3,-1.44,2.31,23.4,970.2,1222,20.0,22.3,0.598890,95.1,96.4,"0.062736,28/10/00"
2020-12-04 00:01:48.708314,-12.0,2.4,-1.55,0.39,23.4,970.2,1595,20.0,22.3,0.598747,95.1,96.4,"0.062721,28/10/00"
2020-12-04 00:01:58.818362,-12.7,-1.8,-1.64,-0.29,23.4,970.3,1219,20.1,22.3,0.598884,95.1,96.4,"0.062735,28/10/00"
2020-12-04 00:02:08.718355,-13.1,-8.1,-1.69,-1.30,23.4,970.3,1594,20.1,22.3,0.598758,95.1,96.4,"0.062719,28/10/00"
2020-12-04 00:02:18.828638,-13.2,-15.4,-1.69,-2.49,23.4,970.2,1224,20.1,22.3,0.598887,95.1,96.4,"0.062732,28/10/00"
2020-12-04 00:02:28.673232,-13.0,7.5,-1.68,1.20,23.4,970.2,1595,20.1,22.3,0.598754,95.1,96.4,"0.062724,28/10/00"
2020-12-04 00:02:38.838366,-13.5,-1.2,-1.74,-0.20,23.4,970.1,1224,20.1,22.3,0.598919,95.1,96.4,"0.062736,28/10/00"
2020-12-04 00:02:48.678647,-18.5,8.2,-2.38,1.32,23.4,970.2,1595,20.1,22.3,0.598763,95.1,96.4,"0.062723,28/10/00"
2020-12-04 00:02:58.782711,-15.7,9.1,-2.02,1.47,23.4,970.2,1224,20.1,22.3,0.598900,95.1,96.4,"0.062731,28/10/00"
2020-12-04 00:03:08.676356,-16.0,9.5,-2.06,1.54,23.4,970.3,1596,20.2,22.3,0.598767,95.1,96.4,"0.062720,28/10/00"
2020-12-04 00:03:18.788405,-16.1,7.9,-2.07,1.27,23.4,970.3,1222,20.2,22.3,0.598904,95.1,96.4,"0.062735,28/10/00"
2020-12-04 00:03:28.674234,-16.0,4.7,-2.06,0.76,23.4,970.3,1595,20.1,22.3,0.598786,95.1,96.4,"0.062722,28/10/00"
2020-12-04 00:03:38.778644,-15.9,0.1,-2.05,0.02,23.4,970.2,1226,20.2,22.3,0.598916,95.1,96.4,"0.062736,28/10/00"
2020-12-04 00:03:48.678525,-16.1,2.6,-2.07,0.42,23.4,970.2,1594,20.1,22.3,0.598792,95.1,96.4,"0.062726,28/10/00"
