dateTime,ozone,temperature,pressure,voltage,sensorTime
2020-12-04 00:00:06.173463,3.8,31.4,962.2,1588,"03/12/20,17:04:35"
2020-12-04 00:00:16.171054,2.4,31.3,960.9,1580,"03/12/20,17:04:45"
2020-12-04 00:00:26.169957,1.7,31.3,962.2,1594,"03/12/20,17:04:55"
2020-12-04 00:00:36.178334,3.3,31.3,961.1,1580,"03/12/20,17:05:05"
2020-12-04 00:00:46.179101,4.9,31.3,962.3,1575,"03/12/20,17:05:15"
2020-12-04 00:00:56.169130,4.9,31.3,960.9,1597,"03/12/20,17:05:25"
2020-12-04 00:01:06.170741,4.4,31.3,962.2,1590,"03/12/20,17:05:35"
2020-12-04 00:01:16.173153,4.0,31.3,961.2,1589,"03/12/20,17:05:45"
2020-12-04 00:01:26.188334,3.3,31.3,962.2,1598,"03/12/20,17:05:55"
2020-12-04 00:01:36.168602,0.7,31.3,961.0,1585,"03/12/20,17:06:05"
2020-12-04 00:01:46.166164,5.4,31.3,962.3,1577,"03/12/20,17:06:15"
2020-12-04 00:01:56.168821,6.0,31.3,961.0,1587,"03/12/20,17:06:25"
2020-12-04 00:02:06.179127,-0.1,31.3,962.2,1596,"03/12/20,17:06:35"
2020-12-04 00:02:16.168515,-2.7,31.3,961.1,1597,"03/12/20,17:06:45"
2020-12-04 00:02:26.168547,1.6,31.3,962.1,1610,"03/12/20,17:06:55"
2020-12-04 00:02:36.170509,4.9,31.3,960.9,1600,"03/12/20,17:07:05"
2020-12-04 00:02:46.162027,2.1,31.3,962.3,1567,"03/12/20,17:07:15"
2020-12-04 00:02:56.168344,0.8,31.3,961.1,1599,"03/12/20,17:07:25"
2020-12-04 00:03:06.162343,1.6,31.3,962.2,1586,"03/12/20,17:07:35"
2020-12-04 00:03:16.161347,6.0,31.3,961.1,1594,"03/12/20,17:07:45"
2020-12-04 00:03:26.161321,6.2,31.3,962.2,1598,"03/12/20,17:07:55"
2020-12-04 00:03:36.168519,3.3,31.3,961.1,1599,"03/12/20,17:08:05"
2020-12-04 00:03:46.159307,6.3,31.3,962.3,1564,"03/12/20,17:08:15"
2020-12-04 00:03:56.169381,6.4,31.3,961.0,1593,"03/12/20,17:08:25"
