dateTime,NO2,NO,NOX,temperature,pressure,flow,O3-flow,voltage,O3-voltage,scrubber-temperature,error-byte,sensorTime,status
2020-12-04 00:00:01.449651,19.1,-36.0,-16.8,25.9,779.0,1245,219.1,0.037975,0.101,110.5,42,"03/12/20,17:48:49",80
2020-12-04 00:00:06.448379,17.4,-33.9,-16.6,26.0,779.3,1205,219.0,0.037978,0.101,110.5,42,"03/12/20,17:48:54",80
2020-12-04 00:00:11.448331,14.9,-26.8,-11.9,26.0,778.9,1246,219.2,0.037980,0.097,110.6,42,"03/12/20,17:48:59",80
2020-12-04 00:00:16.458497,14.2,-16.2,-2.0,26.0,778.9,1243,219.2,0.037980,0.101,110.5,42,"03/12/20,17:49:04",80
2020-12-04 00:00:21.427105,17.2,-0.5,16.6,25.9,779.3,1196,219.0,0.037980,0.101,110.4,46,"03/12/20,17:49:09",80
2020-12-04 00:00:26.438655,19.0,8.7,27.8,25.9,779.4,1247,219.0,0.037982,0.097,110.5,42,"03/12/20,17:49:14",80
2020-12-04 00:00:31.438396,23.8,17.4,41.2,26.0,778.8,1241,219.2,0.037982,0.101,110.5,42,"03/12/20,17:49:19",80
2020-12-04 00:00:36.428369,24.9,20.9,45.8,25.9,779.2,1207,219.0,0.037980,0.101,110.4,42,"03/12/20,17:49:24",80
2020-12-04 00:00:41.428343,25.7,18.8,44.5,26.0,779.0,1246,219.1,0.037982,0.097,110.5,42,"03/12/20,17:49:29",80
2020-12-04 00:00:46.436631,17.2,14.9,32.1,25.9,778.9,1244,219.1,0.037980,0.101,110.4,42,"03/12/20,17:49:34",80
2020-12-04 00:00:51.438590,17.2,8.5,25.7,25.9,779.2,1200,219.0,0.037980,0.101,110.4,46,"03/12/20,17:49:39",80
2020-12-04 00:00:56.418507,25.0,3.6,28.6,26.0,779.3,1248,219.0,0.037985,0.097,110.5,42,"03/12/20,17:49:44",80
2020-12-04 00:01:01.424238,30.3,2.1,32.4,25.9,778.9,1243,219.1,0.037982,0.101,110.4,42,"03/12/20,17:49:49",80
2020-12-04 00:01:06.428418,37.6,-2.4,35.2,25.9,779.2,1204,219.0,0.037985,0.101,110.5,42,"03/12/20,17:49:54",80
2020-12-04 00:01:11.423498,42.3,-3.8,38.5,26.0,779.3,1244,219.0,0.037985,0.097,110.5,42,"03/12/20,17:49:59",80
2020-12-04 00:01:16.438707,42.4,-14.5,27.9,26.0,778.8,1242,219.2,0.037982,0.101,110.4,42,"03/12/20,17:50:04",80
2020-12-04 00:01:21.438356,39.4,-25.5,13.9,26.0,778.9,1207,219.1,0.037982,0.101,110.4,42,"03/12/20,17:50:09",80
2020-12-04 00:01:26.428306,36.0,-31.6,4.4,26.0,779.3,1246,219.0,0.037982,0.097,110.5,42,"03/12/20,17:50:14",80
2020-12-04 00:01:31.436428,26.9,-28.9,-2.0,25.9,779.1,1243,219.0,0.037985,0.101,110.5,42,"03/12/20,17:50:19",80
2020-12-04 00:01:36.428588,18.2,-15.0,3.2,26.0,778.8,1214,219.2,0.037985,0.101,110.5,42,"03/12/20,17:50:24",80
2020-12-04 00:01:41.408800,8.0,-4.1,3.9,26.0,779.1,1241,219.1,0.037985,0.097,110.5,42,"03/12/20,17:50:29",80
2020-12-04 00:01:46.407506,0.1,5.1,5.2,25.9,778.9,1246,219.1,0.037987,0.101,110.4,42,"03/12/20,17:50:34",80
2020-12-04 00:01:51.398911,0.7,8.0,8.7,26.0,778.8,1215,219.2,0.037985,0.101,110.4,42,"03/12/20,17:50:39",80
2020-12-04 00:01:56.408531,2.0,8.8,10.8,25.9,778.8,1245,219.1,0.037990,0.097,110.5,42,"03/12/20,17:50:44",80
2020-12-04 00:02:01.426297,12.9,9.6,22.4,26.0,779.0,1248,219.1,0.037987,0.101,110.4,42,"03/12/20,17:50:49",80
2020-12-04 00:02:06.422725,21.8,10.6,32.5,26.0,779.2,1212,219.1,0.037987,0.101,110.5,42,"03/12/20,17:50:54",80
2020-12-04 00:02:11.426618,31.5,9.2,40.7,26.0,779.0,1240,219.1,0.037987,0.097,110.5,42,"03/12/20,17:50:59",80
2020-12-04 00:02:16.419196,23.6,7.2,30.9,26.0,779.1,1247,219.1,0.037987,0.101,110.5,42,"03/12/20,17:51:04",80
